index,name,image,wholesale,sale
50,"Yellow Peeler",https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/1.webp,4.99,5.99
51,"Amazon Echo Plus",https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/1.webp,83.33,100
52,"Apple Airpods",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/1.webp,108.33,130
53,"Apple AirPods Max Silver",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/1.webp,458.33,550
54,"Apple Airpower Wireless Charger",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/1.webp,66.66,79.99
55,"Apple HomePod Mini Cosmic Grey",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/1.webp,83.33,100
56,"Apple iPhone Charger",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/1.webp,16.66,19.99
57,"Apple MagSafe Battery Pack",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/1.webp,83.33,100
58,"Apple Watch Series 4 Gold",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/1.webp,291.66,349.99
59,"Beats Flex Wireless Earphones",https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/1.webp,41.66,49.99
60,"iPhone 12 Silicone Case with MagSafe Plum",https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/1.webp,24.99,29.99
61,"Monopod",https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/1.webp,16.66,19.99
62,"Selfie Lamp with iPhone",https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/1.webp,12.49,14.99
63,"Selfie Stick Monopod",https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/1.webp,10.83,13
64,"TV Studio Camera Pedestal",https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/1.webp,416.66,499.99
65,"Attitude Super Leaves Hand Soap",https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/1.webp,7.49,8.99
66,"Olay Ultra Moisture Shea Butter Body Wash",https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/1.webp,10.83,13
67,"Vaseline Men Body and Face Lotion",https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/1.webp,8.33,10
68,"American Football",https://cdn.dummyjson.com/product-images/sports-accessories/american-football/1.webp,16.66,19.99
69,"Baseball Ball",https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/1.webp,7.49,8.99
70,"Baseball Glove",https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/1.webp,20.83,25
71,"Basketball",https://cdn.dummyjson.com/product-images/sports-accessories/basketball/1.webp,12.49,14.99
72,"Basketball Rim",https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/1.webp,33.33,40
73,"Cricket Ball",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/1.webp,10.83,13
74,"Cricket Bat",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/1.webp,24.99,29.99
75,"Cricket Helmet",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/1.webp,37.49,44.99
76,"Cricket Wicket",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/1.webp,24.99,29.99
77,"Feather Shuttlecock",https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/1.webp,4.99,5.99
78,"Football",https://cdn.dummyjson.com/product-images/sports-accessories/football/1.webp,14.99,17.99
79,"Golf Ball",https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/1.webp,8.33,10
80,"Iron Golf",https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/1.webp,41.66,49.99
81,"Metal Baseball Bat",https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/1.webp,24.99,29.99
82,"Tennis Ball",https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/1.webp,5.83,7
83,"Tennis Racket",https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/1.webp,41.66,49.99
84,"Volleyball",https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/1.webp,9.99,11.99
85,"Black Sun Glasses",https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/1.webp,24.99,29.99
86,"Classic Sun Glasses",https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/1.webp,20.83,25
87,"Green and Black Glasses",https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/1.webp,29.16,34.99
88,"Party Glasses",https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/1.webp,16.66,19.99
89,"Sunglasses",https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/1.webp,19.16,22.99
90,"Essence Mascara Lash Princess — Photo 2",https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,8.33,10
91,"Eyeshadow Palette with Mirror — Photo 2",https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,16.66,19.99
92,"Powder Canister — Photo 2",https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,12.49,14.99
93,"Red Lipstick — Photo 2",https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,10.83,13
94,"Red Nail Polish — Photo 2",https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,7.49,8.99
95,"Calvin Klein CK One — Photo 2",https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp,41.66,49.99
96,"Calvin Klein CK One — Photo 3",https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp,41.66,49.99
97,"Calvin Klein CK One — Photo 4",https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,41.66,49.99
98,"Chanel Coco Noir Eau De — Photo 2",https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp,108.33,130
99,"Chanel Coco Noir Eau De — Photo 3",https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp,108.33,130
100,"Chanel Coco Noir Eau De — Photo 4",https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,108.33,130
